id_vintage_id,wine_id,name,country,region,wynnery,wine_color,grappe
9610519,2683269,Henriot Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),France,Champagne,Henriot,Vin effervescent,Chardonnay
9601997,16786,Château Climens Barsac (Premier Grand Cru Classé) 2014,France,Barsac,Château Climens,Vin doux,Sémillon
9571960,1995322,Ciacci Piccolomini d'Aragona Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro 2012,Italie,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,Vin rouge,Sangiovese
9567053,79875,Guerrieri Rizzardi Calcarole Amarone della Valpolicella Classico 2013,Italie,Amarone della Valpolicella Classico,Guerrieri Rizzardi,Vin rouge,Corvina
9526805,1247975,Antinori Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva 2013,Italie,Brunello di Montalcino,Antinori,Vin rouge,Sangiovese
9494412,16786,Château Climens Barsac (Premier Grand Cru Classé) 1982,France,Barsac,Château Climens,Vin doux,Assemblage
9425903,1171108,Monteverro Toscana 2014,Italie,Toscane,Monteverro,Vin rouge,Assemblage
9154185,1502021,Avignonesi Vin Santo di Montepulciano Occhio di Pernice 1991,Italie,Vin Santo di Montepulciano,Avignonesi,Vin doux,Assemblage
9147448,1274818,Mascarello Giuseppe e Figlio Barolo Monprivato 2012,Italie,Barolo,Mascarello Giuseppe e Figlio,Vin rouge,Nebbiolo
9140810,2508940,M. Chapoutier Ermitage l'Ermite Blanc 2011,France,Hermitage,M. Chapoutier,Vin blanc,Marsanne
9110322,1808235,Leonetti Reserve 2000,États-Unis,Walla Walla Valley,Leonetti,Vin rouge,Assemblage
9104579,83818,Philipponnat Clos des Goisses Champagne 1986,France,Champagne,Philipponnat,Vin effervescent,Assemblage
9077697,2446729,Masseto Toscana 2000,Italie,Toscane,Masseto,Vin rouge,Merlot
8908293,2416262,Amiot Guy Le Montrachet Grand Cru 2010,France,Montrachet Grand Cru,Amiot Guy,Vin blanc,Chardonnay
8871470,10022,Verite La Joie 2013,États-Unis,Sonoma County,Verite,Vin rouge,Cabernet Sauvignon
8796634,66194,Gaja Sperss Barolo 2014,Italie,Barolo,Gaja,Vin rouge,Nebbiolo
8738731,1301256,Deutz Amour de Deutz Millésimé Brut Champagne 2011,France,Champagne,Deutz,Vin effervescent,Chardonnay
8599861,1974097,Vincent Dauvissat Les Clos Chablís Grand Cru 2007,France,Chablis Grand Cru Les Clos,Vincent Dauvissat,Vin blanc,Chardonnay
8542525,19247,Rocche dei Manzoni Big'd Big Barolo 1985,Italie,Barolo,Rocche dei Manzoni,Vin rouge,Nebbiolo
8519046,82698,Biondi-Santi Brunello di Montalcino Riserva 1955,Italie,Brunello di Montalcino,Biondi-Santi,Vin rouge,Sangiovese
8502650,2144510,Vietti Barolo Brunate 2011,Italie,Barolo,Vietti,Vin rouge,Nebbiolo
8387127,1152417,Château Ausone Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Ausone,Vin rouge,Cabernet Franc
8289047,1653416,Leonetti Merlot 1996,États-Unis,Walla Walla Valley,Leonetti,Vin rouge,Merlot
8243664,2446729,Masseto Toscana 2002,Italie,Toscane,Masseto,Vin rouge,Merlot
8241656,1367557,Tenuta Sant'Antonio Lilium Est Amarone Della Valpolicella Riserva 2010,Italie,Amarone della Valpolicella,Tenuta Sant'Antonio,Vin rouge,Assemblage
8225933,2508940,M. Chapoutier Ermitage l'Ermite Blanc 2012,France,Hermitage,M. Chapoutier,Vin blanc,Marsanne
8193275,2482317,Conde Predappio Massera 2013,Italie,Émilie-Romagne,Conde,Vin rouge,Merlot
8175588,1133151,Domaine Fourrier Vieille Vigne Griottes-Chambertin Grand Cru 2010,France,Griotte-Chambertin Grand Cru,Domaine Fourrier,Vin rouge,Pinot Noir
8123209,2446729,Masseto Toscana 1997,Italie,Toscane,Masseto,Vin rouge,Merlot
8071228,1808235,Leonetti Reserve 2001,États-Unis,Walla Walla Valley,Leonetti,Vin rouge,Assemblage
8063681,1893206,Louis Jadot Musigny Grand Cru 1996,France,Musigny Grand Cru,Louis Jadot,Vin rouge,Pinot Noir
8056260,1913596,Oremus Tokaji Aszú 5 Puttonyos 2014,Hongrie,Tokaj,Oremus,Vin doux,Furmint
8010797,21938,Masi Campolongo di Torbe Amarone della Valpolicella Classico 1980,Italie,Amarone della Valpolicella Classico,Masi,Vin rouge,Assemblage
7948130,1247975,Antinori Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva 2012,Italie,Brunello di Montalcino,Antinori,Vin rouge,Sangiovese
7930576,1216025,Canalicchio di Sopra Brunello di Montalcino Riserva 2012,Italie,Brunello di Montalcino,Canalicchio di Sopra,Vin rouge,Sangiovese
7811576,1784091,Dominio de Atauta Valdegatiles Ribera del Duero 2014,Espagne,Ribera del Duero,Dominio de Atauta,Vin rouge,Tempranillo
7733209,80472,Château Montrose Saint-Estèphe (Grand Cru Classé) 2014,France,Saint-Estèphe,Château Montrose,Vin rouge,Assemblage
7639810,96337,Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2005,France,Sauternes,Château Doisy-Daëne,Vin doux,Sémillon
7616843,2446729,Masseto Toscana 1996,Italie,Toscane,Masseto,Vin rouge,Merlot
7477833,77453,Vietti Barolo Riserva Villero 2013,Italie,Barolo,Vietti,Vin rouge,Nebbiolo
7334072,1726273,Domaine Cecile Tremblay Chapelle-Chambertin Grand Cru 2005,France,Chapelle-Chambertin Grand Cru,Domaine Cecile Tremblay,Vin rouge,Pinot Noir
7326968,768733,Château La Conseillante Pomerol 2014,France,Pomerol,Château La Conseillante,Vin rouge,Assemblage
7201860,1473611,E. Guigal Côte-Rôtie La Turque 2013,France,Côte-Rôtie,E. Guigal,Vin rouge,Assemblage
7201085,2446729,Masseto Toscana 2001,Italie,Toscane,Masseto,Vin rouge,Merlot
7186711,1213,Avignonesi Vin Santo di Montepulciano 1987,Italie,Vin Santo di Montepulciano,Avignonesi,Vin doux,Assemblage
7174060,2446729,Masseto Toscana 2014,Italie,Toscane,Masseto,Vin rouge,Merlot
7168805,1171108,Monteverro Toscana 2013,Italie,Toscane,Monteverro,Vin rouge,Assemblage
7168801,1171108,Monteverro Toscana 2012,Italie,Toscane,Monteverro,Vin rouge,Assemblage
7136318,98586,Cerbaiona Brunello di Montalcino 2011,Italie,Brunello di Montalcino,Cerbaiona,Vin rouge,Sangiovese
7127570,1256452,Ferrari 'Giulio Ferrari' Riserva del Fondatore 1994,Italie,Trente,Ferrari,Vin effervescent,Chardonnay
7068578,2446729,Masseto Toscana 2003,Italie,Toscane,Masseto,Vin rouge,Merlot
7064563,1200703,Parusso Barolo Bussia 2012,Italie,Barolo,Parusso,Vin rouge,Nebbiolo
7034898,1256452,Ferrari 'Giulio Ferrari' Riserva del Fondatore 2004,Italie,Trente,Ferrari,Vin effervescent,Chardonnay
6987412,1108737,Château l'Évangile Pomerol 2014,France,Pomerol,Château l'Évangile,Vin rouge,Cabernet Franc
6921310,2316897,Corte Rugolin Amarone Classico Monte Danieli 2012,Italie,Amarone della Valpolicella Classico,Corte Rugolin,Vin rouge,Assemblage
6880869,1131355,Von Siebenthal Toknar 2014,Chili,Vallée de l'Aconcagua,Von Siebenthal,Vin rouge,Petit Verdot
6803329,2446729,Masseto Toscana 1998,Italie,Toscane,Masseto,Vin rouge,Merlot
6792153,1441099,Charles Heidsieck Blanc des Millénaires 2007,France,Champagne,Charles Heidsieck,Vin effervescent,Chardonnay
6753899,77309,Roberto Voerzio Rocche dell'Annunziata Torriglione Barolo 2010,Italie,Barolo,Roberto Voerzio,Vin rouge,Nebbiolo
6696595,1098981,Château La Fleur-Pétrus Pomerol 1960,France,Pomerol,Château La Fleur-Pétrus,Vin rouge,Assemblage
6684896,2160538,Prunotto Vigna Colonnello Barolo Riserva Bussia 2010,Italie,Barolo,Prunotto,Vin rouge,Nebbiolo
6682875,1415420,Bellavista Vittorio Moretti 2013,Italie,Franciacorta,Bellavista,Vin effervescent,Assemblage
6659265,2446729,Masseto Toscana 2008,Italie,Toscane,Masseto,Vin rouge,Merlot
6618058,2446729,Masseto Toscana 1999,Italie,Toscane,Masseto,Vin rouge,Merlot
6543442,2088452,Gravner Rujno Rosso 2006,Italie,Venezia Giulia,Gravner,Vin rouge,Merlot
6491465,12085,Tenuta Sant'Antonio Campo dei Gigli Amarone della Valpolicella 2012,Italie,Amarone della Valpolicella,Tenuta Sant'Antonio,Vin rouge,Assemblage
